image_directory	isComplete	raw_code	code	caption	hasAssert
7	Data/example-code/verilog examples/Textbook SV...	True	The image contains Verilog code related to a p...	\nproperty checkConsecutive (clk,Sig,numClk);\...	Caption: "Example of a SystemVerilog assertion...	True
10	Data/example-code/verilog examples/Textbook SV...	True	The image contains two excerpts of Verilog cod...	\nalways @(*) begin\n if (c1_long) begin\n ...	Caption: "Understanding the behavior of Verilo...	True
17	Data/example-code/verilog examples/Textbook SV...	True	The image contains Verilog code. Here is the c...	\nproperty p;\nlogic [3:0] tag;\n@(posedge clk...	Caption: "Debugging an Assertion in Verilog: T...	True
31	Data/example-code/verilog examples/Textbook SV...	True	The image contains a syntax example and a spec...	\nsequence_declaration ::=\nsequence sequence_...	"Example of SystemVerilog sequence declaration...	True
34	Data/example-code/verilog examples/Textbook SV...	True	The image contains Verilog code, excerpts of w...	\n// ...\na1: assert property (p);\n// ...\n\n...	Caption: "Verilog code examples showing how to...	True
...	...	...	...	...	...	...
4784	Data/example-code/verilog examples/Textbook SV...	True	The image contains Verilog code within a text ...	\n/*************************************\n* ca...	Example of Verilog PLI callback setup for cloc...	True
4786	Data/example-code/verilog examples/Textbook SV...	True	The image contains text that describes legal a...	\nnstate_e = LOAD; // legal assignmen...	"Understanding Verilog RTL Modeling Pitfalls: ...	True
4791	Data/example-code/verilog examples/Textbook SV...	True	Here is the Verilog code from the image:\n\n``...	\nalways_comb begin\n if (sel)\n y =...	Caption: "Comparing traditional Verilog error ...	True
4816	Data/example-code/verilog examples/Textbook SV...	True	```verilog\nmodule decl_in_clocking_block (log...	\nmodule decl_in_clocking_block (logic a, b, c...	"Verilog Code Example and Exercises on Clockin...	True
4818	Data/example-code/verilog examples/Textbook SV...	True	The image contains two sections of Verilog cod...	\nmodule m_illegal_disable_nesting(logic reset...	"Example of Verilog code demonstrating illegal...	True
765 rows × 6 columns

Processing textbooks with checkpoints every 100
0it [00:00, ?it/s]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7100-7200.csv

7301it [6:21:20,  3.75s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7200-7300.csv

7401it [6:34:28, 10.52s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7300-7400.csv

7501it [6:46:42,  8.92s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7400-7500.csv

7601it [6:57:17,  3.84s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7500-7600.csv

7701it [7:13:09, 10.12s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7600-7700.csv

7801it [7:24:46,  5.44s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7700-7800.csv

7901it [7:36:54,  6.92s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7800-7900.csv

8001it [7:47:56,  7.02s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt7900-8000.csv

8101it [7:59:48,  8.04s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8000-8100.csv

8201it [8:15:14, 11.05s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8100-8200.csv

8301it [8:30:48, 10.59s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8200-8300.csv

8401it [8:46:17,  9.06s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8300-8400.csv

8501it [9:02:18,  8.11s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8400-8500.csv

8601it [9:20:05, 10.04s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8500-8600.csv

8701it [9:35:17, 13.48s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8600-8700.csv

8801it [9:51:22, 10.91s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8700-8800.csv

8901it [10:07:43, 10.71s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8800-8900.csv

9001it [10:21:53, 13.62s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt8900-9000.csv

9101it [10:38:11,  6.84s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9000-9100.csv

9201it [10:54:23, 11.19s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9100-9200.csv

9301it [11:10:03, 13.04s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9200-9300.csv

9401it [11:26:32,  9.39s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9300-9400.csv

9501it [11:44:29,  9.99s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9400-9500.csv

9601it [11:59:32,  6.99s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9500-9600.csv

9701it [12:17:19, 10.73s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9600-9700.csv

9801it [12:35:13,  8.04s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9700-9800.csv

9901it [12:48:56, 11.63s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9800-9900.csv

10001it [13:05:24,  4.89s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt9900-10000.csv

10101it [13:22:18,  6.67s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10000-10100.csv

10201it [13:35:37,  6.39s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10100-10200.csv

10301it [13:51:44, 10.95s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10200-10300.csv

10401it [14:08:32,  9.80s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10300-10400.csv

10501it [14:24:10,  4.72s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10400-10500.csv

10601it [14:38:23, 11.61s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10500-10600.csv

10701it [14:55:19,  9.43s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10600-10700.csv

10801it [15:08:45,  4.29s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10700-10800.csv

10901it [15:24:05, 14.26s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10800-10900.csv

11001it [15:41:28, 11.47s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt10900-11000.csv

11101it [15:55:38,  5.63s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11000-11100.csv

11201it [16:10:28, 10.06s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11100-11200.csv

11301it [16:27:55,  7.98s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11200-11300.csv

11401it [16:42:47,  3.65s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11300-11400.csv

11501it [16:59:24, 11.90s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11400-11500.csv

11601it [17:16:11, 10.20s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11500-11600.csv

11701it [17:28:22,  3.04s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11600-11700.csv

11801it [17:43:47,  8.89s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11700-11800.csv

11901it [18:00:30,  6.24s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11800-11900.csv

12001it [18:14:52,  7.93s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt11900-12000.csv

12101it [18:30:06,  8.64s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12000-12100.csv

12201it [18:47:09, 11.46s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12100-12200.csv

12301it [19:03:57, 14.13s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12200-12300.csv

12401it [19:20:43, 11.93s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12300-12400.csv

12501it [19:37:05, 11.69s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12400-12500.csv

12601it [19:53:02, 10.01s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12500-12600.csv

12701it [20:10:03,  7.55s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12600-12700.csv

12801it [20:26:10, 12.75s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12700-12800.csv

12901it [20:40:57, 11.48s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12800-12900.csv

12977it [20:52:41,  5.79s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook-gpt12876-12976.csv







Processing textbooks with checkpoints every 100
101it [16:46, 10.60s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt0-100.csv

201it [41:41, 12.32s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt100-200.csv

301it [1:02:42,  7.44s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt200-300.csv

401it [1:16:19, 10.75s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt300-400.csv

501it [1:32:46,  8.58s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt400-500.csv

601it [1:45:12, 13.13s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt500-600.csv

701it [1:58:17,  3.31s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt600-700.csv

801it [2:15:39, 11.83s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt700-800.csv

901it [2:33:25, 12.20s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt800-900.csv

1001it [2:48:34, 10.93s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt900-1000.csv

1101it [3:07:38, 12.44s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1000-1100.csv

1201it [3:27:43,  8.51s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1100-1200.csv

1301it [3:41:06,  4.37s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1200-1300.csv

1401it [3:54:16,  4.16s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1300-1400.csv

1501it [4:10:14,  4.80s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1400-1500.csv

1601it [4:18:44,  8.11s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1500-1600.csv

1701it [4:26:48, 11.49s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1600-1700.csv

1801it [4:42:08,  8.64s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1700-1800.csv

1901it [4:56:33,  3.51s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1800-1900.csv

2001it [5:14:37, 10.42s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt1900-2000.csv

2101it [5:36:44, 11.52s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2000-2100.csv

2201it [5:55:34, 10.03s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2100-2200.csv

2301it [6:19:30, 20.47s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2200-2300.csv

2401it [6:39:26, 12.80s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2300-2400.csv

2501it [7:00:57, 13.59s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2400-2500.csv

2601it [7:25:28,  7.53s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2500-2600.csv

2701it [7:50:29, 17.85s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2600-2700.csv

2801it [8:13:36, 13.48s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2700-2800.csv

2901it [8:30:28,  3.37s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2800-2900.csv

3001it [8:39:17,  3.54s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt2900-3000.csv

3101it [8:47:08, 12.40s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3000-3100.csv

3201it [9:04:19, 10.73s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3100-3200.csv

3301it [9:30:10, 17.87s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3200-3300.csv

3401it [9:53:43, 15.81s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3300-3400.csv

3501it [10:19:28, 17.66s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3400-3500.csv

3601it [10:39:15, 13.96s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3500-3600.csv

3701it [11:00:34,  6.48s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3600-3700.csv

3801it [11:18:59, 13.96s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3700-3800.csv

3901it [11:35:52,  5.68s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3800-3900.csv

3972it [11:49:07, 10.71s/it]
SAVED TO  Data/example-code/supervised-textbook/checkpoints/textbook2-gpt3871-3971.csv
