image_directory,isComplete,raw_code,code,caption,hasAssert
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/StuartSutherland-The Verilog PLI Handbook_p453.jpg,True,"```verilog
#include ""veriuser.h"" /* IEEE 1364 PLI TF routine library */
/***********************************************************
 * calltf routine: turns on asynchronous callbacks to the misctf
 * routine whenever an argument to the system task changes value
 ***********************************************************/
int PLIbook_ScientificALU_calltf()
{
    tf_asynchon();
    return(0);
}

/***********************************************************
 * misctf routine: Serves as an interface between Verilog simulation
 * and the C model. Called whenever the C model inputs change value,
 * reads the input values, and passes the values to the C model, and
 * puts the C model outputs into simulation. Passes the instance
 * pointer of the Verilog system task which represents the C model
 * to serve as a unique flag within the C model.
 ***********************************************************/
int PLIbook_ScientificALU_misctf(int user_data, int reason, int paramvc)
{
    #define ALU_ENABLE  1 /* system task arg 1 is ALU enable input */
    #define ALU_A       2 /* system task arg 2 is ALU A input */
    #define ALU_B       3 /* system task arg 3 is ALU B input */
    #define ALU_OP      4 /* system task arg 4 is ALU opcode input */
    #define ALU_RESULT  5 /* system task arg 5 is ALU result output */
    #define ALU_EXCEPT  6 /* system task arg 6 is ALU exception output */
    #define ALU_ERROR   7 /* system task arg 7 is ALU error output */
    
    double  a, b, result;
    int     opcode, excep, err, enable;
    char    *instance_p;

    /* abort if misctf was not called for a task argument value change */
    if (reason != REASON_PARAMVC)
        return(0);

    /* abort if task argument that changed was a model output */
    if (paramvc == ALU_OP) /* model outputs are after model inputs */
        return(0);

    a       = tf_getrealp(ALU_A);
    b       = tf_getrealp(ALU_B);
    opcode  = tf_getp(ALU_OP);

    /* Obtain the instance pointer for this system task instance */
    instance_p = tf_getinstance();

    /****** Call C model *******/
}
```
The image contains Verilog code related to a combinational logic interface for a latched scientific ALU C model, including `calltf` and `misctf` routines.","
#include ""veriuser.h"" /* IEEE 1364 PLI TF routine library */
/***********************************************************
 * calltf routine: turns on asynchronous callbacks to the misctf
 * routine whenever an argument to the system task changes value
 ***********************************************************/
int PLIbook_ScientificALU_calltf()
{
    tf_asynchon();
    return(0);
}

/***********************************************************
 * misctf routine: Serves as an interface between Verilog simulation
 * and the C model. Called whenever the C model inputs change value,
 * reads the input values, and passes the values to the C model, and
 * puts the C model outputs into simulation. Passes the instance
 * pointer of the Verilog system task which represents the C model
 * to serve as a unique flag within the C model.
 ***********************************************************/
int PLIbook_ScientificALU_misctf(int user_data, int reason, int paramvc)
{
    #define ALU_ENABLE  1 /* system task arg 1 is ALU enable input */
    #define ALU_A       2 /* system task arg 2 is ALU A input */
    #define ALU_B       3 /* system task arg 3 is ALU B input */
    #define ALU_OP      4 /* system task arg 4 is ALU opcode input */
    #define ALU_RESULT  5 /* system task arg 5 is ALU result output */
    #define ALU_EXCEPT  6 /* system task arg 6 is ALU exception output */
    #define ALU_ERROR   7 /* system task arg 7 is ALU error output */
    
    double  a, b, result;
    int     opcode, excep, err, enable;
    char    *instance_p;

    /* abort if misctf was not called for a task argument value change */
    if (reason != REASON_PARAMVC)
        return(0);

    /* abort if task argument that changed was a model output */
    if (paramvc == ALU_OP) /* model outputs are after model inputs */
        return(0);

    a       = tf_getrealp(ALU_A);
    b       = tf_getrealp(ALU_B);
    opcode  = tf_getp(ALU_OP);

    /* Obtain the instance pointer for this system task instance */
    instance_p = tf_getinstance();

    /****** Call C model *******/
}
","""Example of Verilog PLI code for interfacing between Verilog simulations and a C model ALU.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/CernyDudani-SVA- The Power of Assertions in SystemVerilog_p444.jpg,True,"The image contains Verilog code. Here is the code as seen in the image:

```verilog
property p;
logic [3:0] tag;
@(posedge clk) (req, tag = req_tag)
|=> s_eventually [1:18] ack && (ack_tag == tag);
endproperty
a: assert property (p);

default clocking ck @(posedge clk);
endclocking
initial begin // add to the test
$assertoff();
#104;
// start assertion just before
// the start time of failure
$asserton();
#2;
// stop assertion right after
// the failing attempt at time 105
$assertoff();
end

property p;
logic [3:0] tag;
(
  req, tag = req_tag, // make sure it triggered
  $display(""[%t] req asserted, tag %0d"", $time, tag)
)
|=> s_eventually [1:18] ack && (ack_tag == tag);
endproperty
a: assert property (p);
```

This code includes properties and assertions which are often used in formal verification to check that certain conditions hold in a design during simulation.","
property p;
logic [3:0] tag;
@(posedge clk) (req, tag = req_tag)
|=> s_eventually [1:18] ack && (ack_tag == tag);
endproperty
a: assert property (p);

default clocking ck @(posedge clk);
endclocking
initial begin // add to the test
$assertoff();
#104;
// start assertion just before
// the start time of failure
$asserton();
#2;
// stop assertion right after
// the failing attempt at time 105
$assertoff();
end

property p;
logic [3:0] tag;
(
  req, tag = req_tag, // make sure it triggered
  $display(""[%t] req asserted, tag %0d"", $time, tag)
)
|=> s_eventually [1:18] ack && (ack_tag == tag);
endproperty
a: assert property (p);
","Caption: ""Debugging an Assertion in Verilog: This excerpt covers the process of debugging an assertion under development, including a sample assertion code and the method to instrument the test.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/AshokMehta-System Verilog Assertions and Functional Coverage_p195.jpg,True,"```verilog
property bgcheck;
    @(posedge clk) bgack |= -> $countones(busgnt);
endproperty
```

The code shown defines a property named `bgcheck` in Verilog that checks for the presence of at least one '1' in the expression `busgnt` when the clock edge is at the positive edge (`posedge`) and `bgack` is high. If there's at least one '1', the implication operator `|->` indicates that the property is satisfied. The `$countones` system function is used for counting the number of '1's present in the expression `busgnt`.","
property bgcheck;
    @(posedge clk) bgack |= -> $countones(busgnt);
endproperty
","Caption: ""Example of using the SystemVerilog $countones function as a pass/fail check in a property.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/SutherlandMills-Verilog and SystemVerilog Gotchas_p134.jpg,True,"The image contains a snippet of Verilog code. Here it is:

```verilog
always @(posedge clock) begin
  temp1 = f(i1,o1);  // o1 will be updated every time
  temp2 = f(i2,o2);  // o2 will be updated every time
  if ( temp1 && temp2 )  // OK! no side effects
    mem[addr] <= data_in;
end
```","
always @(posedge clock) begin
  temp1 = f(i1,o1);  // o1 will be updated every time
  temp2 = f(i2,o2);  // o2 will be updated every time
  if ( temp1 && temp2 )  // OK! no side effects
    mem[addr] <= data_in;
end
","""Exploring Operator Gotchas in Verilog and How to Avoid Short-Circuiting Issues in Code""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/BallJones-Computer Aided Verification_p401.jpg,True,"The image contains a snippet of code, which appears to be part of a document discussing automatic termination proofs for programs. The code is related to a Windows device driver and it describes a loop that has a termination bug. Here is the code from the image:

```c
for (entry = DeviceExtension->ReadQueue.Flink;
     entry != &DeviceExtension->ReadQueue;
     entry = entry->Flink) {
    irp = (IRP *)((CHAR *)(entry)-(ULONG)(&((IRP *)0)->Tail.Overlay.ListEntry));
    stack = IoGetCurrentIrpStackLocation (irp);
    if (stack->FileObject == FileObject) {
        RemoveEntryList(entry);
        if (IoSetCancelRoutine (irp, NULL)) {
            return irp;
        } else {
            InitializeListHead (&irp->Tail.Overlay.ListEntry);
        }
    }
}
```

The code is accompanied by a caption explaining that it contains a termination bug which the paper addresses, and it notes that the bug can have catastrophic effects on the responsiveness of the computer when it occurs.","entry = DeviceExtension->ReadQueue.Flink;
     entry != &DeviceExtension->ReadQueue;
     entry = entry->Flink) {
    irp = (IRP *)((CHAR *)(entry)-(ULONG)(&((IRP *)0)->Tail.Overlay.ListEntry));
    stack = IoGetCurrentIrpStackLocation (irp);
    if (stack->FileObject == FileObject) {
        RemoveEntryList(entry);
        if (IoSetCancelRoutine (irp, NULL)) {
            return irp;
        } else {
            InitializeListHead (&irp->Tail.Overlay.ListEntry);
        }
    }
}
","""Example of a Windows device driver code snippet with a termination bug as described in a technical document discussing automatic termination proofs for programs with complex memory structures.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/FosterKrolnikLacey-Assertion-Based Design_p110.jpg,True,"The image contains a syntax example and a specific example of SystemVerilog code related to sequence declaration. Here is the code:

Syntax for SystemVerilog sequence:
```verilog
sequence_declaration ::=
sequence sequence_identifier [sequence_formal_list ] ';'
        { assertion_variable_declaration }
        sequence_expr ';'
endsequence [ ':' sequence_identifier ]
```

Specific example provided in the image:
```verilog
sequence req_ack (req, del, ack);
    req ##[1:3] ack;  // ack occurs within 1 to 3 cycles after req
endsequence;
```

The syntax shows the general structure of a SystemVerilog sequence declaration, while the specific example demonstrates how to declare a sequence that uses the non-consecutive repetition operator `##[min:max]` to specify that the signal `ack` should occur within 1 to 3 cycles after the signal `req`.","
sequence_declaration ::=
sequence sequence_identifier [sequence_formal_list ] ';'
        { assertion_variable_declaration }
        sequence_expr ';'
endsequence [ ':' sequence_identifier ]


sequence req_ack (req, del, ack);
    req ##[1:3] ack;  // ack occurs within 1 to 3 cycles after req
endsequence;
","""Example of SystemVerilog sequence declaration and operations from a textbook on Assertion-Based Design.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/CernyDudani-SVA- The Power of Assertions in SystemVerilog_p493.jpg,True,"The image contains Verilog code, excerpts of which are as follows:

Embedded assertion code:
```verilog
// ...
a1: assert property (p);
// ...
```

Stand-alone assertion equivalent:
```verilog
assert property (@(posedge clk) en && !cond |->
```

Looping statement with assertions:
```verilog
property p(int i, j);
    a[i] |->
    ##[1:2] b[j];
endproperty : p

always @(posedge clk) begin : b1
// ...
for (int i = 0; i < 5; i++) begin : b2
    // ...
    for (int j = 0; j < i; j++) begin : b3
        // ...
        a1: assert property (p(i, j));
    end : b3
end : b2
end : b1
```

Equivalent stand-alone assertions:
```verilog
assert property (@(posedge clk) p(1, 0));
assert property (@(posedge clk) p(2, 0));
// ...
assert property (@(posedge clk) p(4, 3));
```","
// ...
a1: assert property (p);
// ...


assert property (@(posedge clk) en && !cond |->


property p(int i, j);
    a[i] |->
    ##[1:2] b[j];
endproperty : p

always @(posedge clk) begin : b1
// ...
for (int i = 0; i < 5; i++) begin : b2
    // ...
    for (int j = 0; j < i; j++) begin : b3
        // ...
        a1: assert property (p(i, j));
    end : b3
end : b2
end : b1


assert property (@(posedge clk) p(1, 0));
assert property (@(posedge clk) p(2, 0));
// ...
assert property (@(posedge clk) p(4, 3));
","Caption: ""Verilog code examples showing how to embed assertions within conditional and loop structures, and their equivalent stand-alone assertions for formal verification.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/StuartSutherland-The Verilog PLI Handbook_p484.jpg,True,"Here is the code from the image:

```c
else
    module_h = acc_handle_targ(i);
PLIbook_GetAllSignals(module_h);
acc_close();
return(0);
}

void PLIbook_GetAllSignals(handle module_h)
{
    handle signal_h;
    static int signal_types[6] = {accNet, accReg, accIntegerVar,
                                  accTimeVar, accRealVar, 0 };
    
    acc_initialize();
    io_printf(""\nAt time %s, signals in module %s (%s):\n"",
              tf_strgettime(),
              acc_fetch_fullname(module_h),
              acc_fetch_defname(module_h));
    signal_h = null;  /* start with known value for target handle */
    while (signal_h = acc_next(signal_types, module_h, signal_h)) {
        io_printf("" %-13s %-13s value is %s (hex)\n"",
                  acc_fetch_type_str(acc_fetch_fulltype(signal_h)),
                  acc_fetch_name(signal_h),
                  acc_fetch_value(signal_h, ""%h"", null));
    }
    acc_close();
    return;
}
```

This code is from ""The Verilog PLI Handbook, Part Two"" and discusses the usage of ACC routines within the PLI standard for Verilog simulations.","    module_h = acc_handle_targ(i);
PLIbook_GetAllSignals(module_h);
acc_close();
return(0);
}

void PLIbook_GetAllSignals(handle module_h)
{
    handle signal_h;
    static int signal_types[6] = {accNet, accReg, accIntegerVar,
                                  accTimeVar, accRealVar, 0 };
    
    acc_initialize();
    io_printf(""\nAt time %s, signals in module %s (%s):\n"",
              tf_strgettime(),
              acc_fetch_fullname(module_h),
              acc_fetch_defname(module_h));
    signal_h = null;  /* start with known value for target handle */
    while (signal_h = acc_next(signal_types, module_h, signal_h)) {
        io_printf("" %-13s %-13s value is %s (hex)\n"",
                  acc_fetch_type_str(acc_fetch_fulltype(signal_h)),
                  acc_fetch_name(signal_h),
                  acc_fetch_value(signal_h, ""%h"", null));
    }
    acc_close();
    return;
}
","""Excerpt from the Verilog PLI Handbook demonstrating the use of ACC routines within Verilog PLI applications.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/FosterKrolnikLacey-Assertion-Based Design_p138.jpg,True,"The image contains two code examples written in Verilog. Below are the transcriptions of both:

Example 4-11 PLI assert always check
```verilog
$assert_always_ck (ck, reset_n, expression,
                   ""My optional assertion error message"")
```

Example 4-12 $assert_never within a CASE default branch
```verilog
case({a,b}) begin
  2’b01: s = c+4’b0001;
  2’b10: s = c-4’b0001;
  default: $assert_error(“Case default error”);
endcase
```","
$assert_always_ck (ck, reset_n, expression,
                   ""My optional assertion error message"")


case({a,b}) begin
  2’b01: s = c+4’b0001;
  2’b10: s = c-4’b0001;
  default: $assert_error(“Case default error”);
endcase
","Caption: ""Examples of Verilog PLI-based assertion checks used for design verification.""",True
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/SutherlandMills-Verilog and SystemVerilog Gotchas_p108.jpg,True,"```verilog
module RAM #(parameter SIZE = 1024, A_WIDTH = 16, D_WIDTH = 31)
    (output logic [D_WIDTH-1:0] data_out,
     input logic [D_WIDTH-1:0] data_in,
     input logic [A_WIDTH-1:0] addr,  // 16 bit bus
     input logic                  read, write);

bit [D_WIDTH-1:0] mem_array [0:SIZE-1];  // 2-state array
                                          // GOTCHA! only need 10 bit index

assign data_out = read? mem_array[addr] : 'z;  // read from array
...
endmodule
```","
module RAM #(parameter SIZE = 1024, A_WIDTH = 16, D_WIDTH = 31)
    (output logic [D_WIDTH-1:0] data_out,
     input logic [D_WIDTH-1:0] data_in,
     input logic [A_WIDTH-1:0] addr,  // 16 bit bus
     input logic                  read, write);

bit [D_WIDTH-1:0] mem_array [0:SIZE-1];  // 2-state array
                                          // GOTCHA! only need 10 bit index

assign data_out = read? mem_array[addr] : 'z;  // read from array
...
endmodule
","""Verilog Gotcha: Risks of hidden errors with out-of-bounds array access in RTL simulation.""",False
Data/example-code/verilog examples/Textbook SVA/Book-Verilog/paginated/CernyDudani-SVA- The Power of Assertions in SystemVerilog_p487.jpg,True,"The image contains a snippet of code related to property specification in formal verification, likely using SystemVerilog Assertions (SVA) based on the syntax. Here is the code from the image:

```verilog
always req |-> ##[1:700] gnt
```

The code specifies that always when the request signal `req` is asserted (true), the grant signal `gnt` must be asserted within a range from 1 to 700 clock cycles later. This is used to formalize a liveness property in the context of hardware verification.","
always req |-> ##[1:700] gnt
","""Exploring the concept of safety and liveness properties in the context of formal verification with an example of Verilog temporal logic for property specification.""",False
